table_name,column_name,data_type,ordinal_position
cln_actionkit__core_mediatarget,utc_created_at,TIMESTAMP,3
cln_actionkit__core_mediatarget,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_mediatarget,hidden,BOOL,5
cln_actionkit__core_mediatarget,address1,STRING,6
cln_actionkit__core_mediatarget,address2,STRING,7
cln_actionkit__core_mediatarget,city,STRING,8
cln_actionkit__core_mediatarget,state,STRING,9
cln_actionkit__core_mediatarget,us_district,STRING,10
cln_actionkit__core_mediatarget,region,STRING,11
cln_actionkit__core_mediatarget,postal,STRING,12
cln_actionkit__core_mediatarget,zip,STRING,13
cln_actionkit__core_mediatarget,plus4,STRING,14
cln_actionkit__core_mediatarget,country,STRING,15
cln_actionkit__core_mediatarget,longitude,FLOAT64,16
cln_actionkit__core_mediatarget,latitude,FLOAT64,17
cln_actionkit__core_mediatarget,orgid,INT64,18
cln_actionkit__core_mediatarget,name,STRING,19
cln_actionkit__core_mediatarget,phone,STRING,20
cln_actionkit__core_mediatarget,fax,STRING,21
cln_actionkit__core_mediatarget,email_address,STRING,22
cln_actionkit__core_mediatarget,website_url,STRING,23
cln_actionkit__core_mediatarget,circulation,INT64,24
cln_actionkit__core_mediatarget,frequency,STRING,25
cln_actionkit__core_mediatarget,language,STRING,26
cln_actionkit__core_mediatarget,levelcode,STRING,27
cln_actionkit__core_mediatarget,dmacode,STRING,28
cln_actionkit__core_mediatarget,fipscode,INT64,29
cln_actionkit__core_mediatarget,msacode,INT64,30
cln_actionkit__core_mediatarget,source_schema,STRING,31
cln_actionkit__core_mediatarget,source_table,STRING,32
cln_actionkit__core_mediatarget,vendor,STRING,33
cln_actionkit__core_mediatarget,vendor_unique_core_mediatarget_id,STRING,34
cln_actionkit__core_mediatarget,data_owner_id,INT64,35
cln_actionkit__core_mediatarget,data_owner_code,STRING,36
cln_actionkit__core_open,_dbt_source_relation,STRING,1
cln_actionkit__core_open,user_id,INT64,2
cln_actionkit__core_open,mailing_id,INT64,3
cln_actionkit__core_open,utc_created_at,TIMESTAMP,4
cln_actionkit__core_open,id,INT64,5
cln_actionkit__core_open,useragent_id,INT64,6
cln_actionkit__core_open,source_schema,STRING,7
cln_actionkit__core_open,source_table,STRING,8
cln_actionkit__core_open,vendor,STRING,9
cln_actionkit__core_open,vendor_unique_open_id,STRING,10
cln_actionkit__core_open,data_owner_id,INT64,11
cln_actionkit__core_open,data_owner_code,STRING,12
cln_actionkit__core_order,_dbt_source_relation,STRING,1
cln_actionkit__core_order,id,INT64,2
cln_actionkit__core_order,utc_created_at,TIMESTAMP,3
cln_actionkit__core_order,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_order,action_id,INT64,5
cln_actionkit__core_order,user_id,INT64,6
cln_actionkit__core_order,user_detail_id,INT64,7
cln_actionkit__core_order,card_num_last_four,STRING,8
cln_actionkit__core_order,shipping_address_id,INT64,9
cln_actionkit__core_order,total,NUMERIC,10
cln_actionkit__core_order,currency,STRING,11
cln_actionkit__core_order,total_converted,NUMERIC,12
cln_actionkit__core_order,status,STRING,13
cln_actionkit__core_order,import_id,STRING,14
cln_actionkit__core_order,account,STRING,15
cln_actionkit__core_order,payment_method,STRING,16
